SIGNAL_TYPE,SIGNAL_TYPE2,FACILITYID,LEGACYID,SIGNAL_ID,CONSTRUCTION_STATUS,RADIO_CONTROL,OPTICOM,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
2,Pedestrian,1000963361, ,389,Constructed,No, ,0,In Service, ,0,Surrey,78A Avenue and 140 Street, ,Final AB,, ,,0,0,,20171123,49.145441,-122.834542
4,Traffic,1000963610, ,269,Constructed,Yes,Yes,0,In Service, ,0,Surrey,72 Avenue and 126 Street, ,Final AB,, ,,0,0,,20171123,49.133921,-122.873467
3,Special Crosswalk,1001928094, ,553,Constructed, , ,0,In Service, ,2016,Surrey,9900 Blk 156 St, , ,, ,,0,0,20170424,20171123,49.182704,-122.789829
1,Fire,1000963339, ,394,Constructed,No, ,0,In Service, ,0,Surrey, , ,Final AB,, ,,0,0,,20171123,49.061085,-122.797964
2,Pedestrian,1000963423, ,412,Constructed,No, ,0,In Service, ,0,Surrey,88 Avenue and 146 Street, ,Final AB,, ,,0,0,,20171123,49.162841,-122.817903
4,Traffic,1000963397, ,330,Constructed,No, ,0,In Service, ,0,Surrey,96 Ave & 116 St, ,Final AB,, ,,0,0,,20171123,49.177128,-122.901171
4,Traffic,1000963395, ,255,Constructed,Yes,Yes,0,In Service, ,0,Surrey,75 Avenue and 124 Street, ,Final AB,, ,,0,0,,20171123,49.139266,-122.879058
4,Traffic,1000963446, ,294,Constructed,No, ,0,In Service,MOTH 71101-2011,2008,Provincial,Hwy 15 & 32 Ave, ,Final AB,, ,,0,0,,20171123,49.060150,-122.735383
2,Pedestrian,1001779492, ,502,Constructed, , ,0,In Service, ,2014,Surrey,64 Ave  13300 Blk, , ,, ,,0,0,20140909,20171123,49.119012,-122.853711
0,Beacons,1001750903, ,494,Constructed, , ,0,In Service, ,0,Surrey, ,Rapid Flashing Beacon, ,, ,,0,0,20140527,20140527,49.140913,-122.834508
4,Traffic,1000963630, ,202,Constructed,Yes,Yes,0,In Service, ,0,Surrey,20 Avenue and 152 Street, ,Final AB,, ,,0,0,,20171123,49.038355,-122.801192
4,Traffic,1000963400, ,144,Constructed,Yes,Yes,0,In Service,1705-3110-00,2009,Surrey,King George Blvd and 24 Avenue, ,Final AB,, ,,0,0,,20171123,49.045595,-122.793560
2,Pedestrian,1002238161,,,Constructed,,,,In Service,,,Surrey,,,,,,,,,,,49.168141,-122.806721
4,Traffic,1001837443, ,469,Constructed, , ,0,In Service, ,0,Surrey,152 Ftg E & 152 St, , ,, ,,0,0,,20171123,49.095106,-122.801140
4,Traffic,1000963652, ,254,Constructed,Yes,Yes,0,In Service, ,0,Surrey,64 Avenue and 188 Street, ,Final AB,, ,,0,0,,20171123,49.118960,-122.701723
3,Special Crosswalk,1001202932, ,562,Constructed, , ,0,In Service,3810-4050-00,2012,Surrey,90 Ave & 140 St, ,Initial AB,, ,,0,0,20121220,20171123,49.166480,-122.834627
4,Traffic,1002237565,,,Constructed,,,,In Service,R-11753,,Surrey,32 Ave & 164 St,,EC,,,,,,20200422,20200422,49.060216,-122.768021
0,Beacons,1001927730, ,634,Constructed, , ,0,In Service, ,2016,Surrey, ,Rapid Flashing Beacon, ,, ,,0,0,20170420,20190613,49.186318,-122.856501
4,Traffic,1000963453, ,56,Constructed,Yes,Yes,0,In Service, ,0,Surrey,University Drive and Mall Entrance, ,Final AB,, ,,0,0,,20171123,49.187745,-122.851088
4,Traffic,1000963602, ,646,Constructed,No,Yes,0,In Service, ,0,Surrey,King George Blvd and 26 Avenue, ,Final AB,, ,,0,0,,20171130,49.049086,-122.797887
4,Traffic,1002213462,,,Constructed,,,,In Service,R-9558,2018,Surrey,80 Ave & Southern Railway (12900blk),,Initial AB,,,,,,20191106,20191106,49.148160,-122.865278
4,Traffic,1001946517, ,524,Constructed, , ,0,In Service, ,2017,Provincial,177B Street & Hwy 17, , ,, ,,0,0,20170912,20171123,49.189352,-122.730402
0,Beacons,1002211351,,,Constructed,,,,In Service,R-17506,2019,Surrey,,,Final AB,,,,,,20191024,20191024,49.126074,-122.704468
2,Pedestrian,1001146937, ,630,Constructed, , ,0,In Service, ,0,Surrey,99 Ave & 152 St, ,Final AB,, ,,0,0,20100118,20171123,49.182535,-122.800941
4,Traffic,1000963597, ,487,Constructed, , ,0,In Service, ,0,Surrey,King George Blvd & 148 St, ,Final AB,, ,,0,0,,20171123,49.058827,-122.809929
4,Traffic,1000963605, ,71,Constructed,Yes,Yes,0,In Service, ,0,Surrey,34 Avenue and 152 Street, ,Final AB,, ,,0,0,,20171123,49.063740,-122.801187
4,Traffic,1000963433, ,146,Constructed,Yes, ,0,In Service, ,0,Surrey,Scott Rd and King George Hwy, , ,, ,,0,0,,20171123,49.205949,-122.874944
0,Beacons,1001146946, ,534,Constructed, , ,0,In Service, ,2010,Surrey, ,Side Mounted Beacon,Final AB,, ,,0,0,20100118,20100629,49.002140,-122.731087
4,Traffic,1000963369, ,184,Constructed,No,Yes,0,In Service, ,0,Surrey,84 Avenue and 140 Street, ,Final AB,, ,,0,0,,20171123,49.155494,-122.834601
3,Special Crosswalk,1000960519, ,584,Constructed,No, ,0,In Service,2857,0,Surrey,24 ave 15300 Blk, ,Final AB,, ,,0,0,20081210,20171123,49.045608,-122.797523
2,Pedestrian,1000960518, ,563,Constructed,No, ,0,In Service,3812-4200-00,2014,Surrey,17 Avenue and 148 Street,Upgraded by TRL-123-036,Final AB,, ,,0,0,20081210,20200703,49.032963,-122.812222
4,Traffic,1000963490, ,192,Constructed,Yes,Yes,0,In Service, ,0,Surrey,80 Avenue and 128 Street, ,Final AB,, ,,0,0,,20171123,49.148157,-122.867970
4,Traffic,1000963622, ,38,Constructed,Yes,Yes,0,In Service,3806-4040-00,2009,Surrey,King George Blvd and 104 Avenue, ,Final AB,, ,,0,0,,20171123,49.191621,-122.845349
4,Traffic,1000963511, ,31,Constructed,Yes,Yes,0,In Service,3804-4040-00,2007,Surrey,88 Avenue and Mall Access, ,Final AB,, ,,0,0,,20171123,49.163056,-122.876215
2,Pedestrian,1001900534, ,523,Constructed, , ,0,In Service,1711-3090-00,2016,Surrey, , ,Final AB,, ,,0,0,20161220,20171123,49.055505,-122.805844
4,Traffic,1000963629, ,55,Constructed,Yes,Yes,0,In Service, ,0,Surrey,Fraser Highway and 188 Street, ,Final AB,, ,,0,0,,20171123,49.123715,-122.701720
4,Traffic,1000963321, ,27,Constructed,No,Yes,0,In Service, ,0,Surrey,100 Avenue and 154 Street, ,Final AB,, ,,0,0,,20171123,49.184265,-122.795355
